old_column_name,new_data_type,new_column_name,coding
sdt_2,date,PFT_date,
idtype,integer,IDTYPE,
id,integer,ID,
na_2,,,
fv1_2,float,FEV,
fv3_2,,,
fv6_2,,,
fvc_2,float,FVC,
pf_2,float,PF,
tfvc_2,,,
rfev_2,,,
rfvc_2,,,
rbb_2,float,FEV_FVC,
mmf_2,,,
ff1_2,,,
ff2_2,,,
ff3_2,,,
