old_column_name,new_data_type,new_column_name,coding
sdt_8_1,date,PFT_date,
idtype,integer,IDTYPE,
id,integer,ID,
na_8_1,,,
fv1_8_1,float,FEV,
fv6_8_1,,,
fv3_8_1,,,
fvc_8_1,float,FVC,
pf_8_1,float,PF,
tfvc_8_1,,,
rfev_8_1,,,
rfvc_8_1,,,
rbb_8_1,float,FEV_FVC,
mmf_8_1,,,
ff1_8_1,,,
ff2_8_1,,,
ff3_8_1,,,
